,0
0,2168.0
1,2061.0
2,1893.0
3,1970.0
4,1914.0
5,2160.0
6,1993.0
7,2005.0
8,1914.0
9,1835.0
10,1753.0
11,1705.0
12,1500.0
13,1866.0
14,1820.0
15,1600.0
16,1580.0
17,1538.0
18,1454.0
19,1396.0
20,1360.0
21,1225.0
22,1307.0
23,1226.0
24,1338.0
25,1262.0
26,1249.0
27,1127.0
28,1162.0
29,1196.0
30,1143.0
31,1100.0
32,1071.0
33,1115.0
34,1006.0
35,1056.0
36,1065.0
37,1021.0
38,1026.0
39,982.0
40,1039.0
41,943.0
42,982.0
43,971.0
44,958.0
45,948.0
46,961.0
47,943.0
48,952.0
49,932.0
50,947.0
51,934.0
52,909.0
53,941.0
54,920.0
55,902.0
56,914.0
57,877.0
58,926.0
59,847.0
60,883.0
61,849.0
62,854.0
63,869.0
64,848.0
65,838.0
66,863.0
67,862.0
68,838.0
69,847.0
70,862.0
71,803.0
72,835.0
73,819.0
74,847.0
75,846.0
76,805.0
77,846.0
78,823.0
79,828.0
80,808.0
81,787.0
82,831.0
83,805.0
84,790.0
85,822.0
86,805.0
87,821.0
88,798.0
89,783.0
90,807.0
91,792.0
92,798.0
93,800.0
94,819.0
95,813.0
96,788.0
97,781.0
98,801.0
99,776.0
100,795.0
101,789.0
102,841.0
103,792.0
104,824.0
105,841.0
106,1470.0
107,1247.0
108,773.0
109,767.0
110,769.0
111,759.0
112,884.0
113,840.0
114,795.0
115,820.0
116,826.0
117,767.0
118,806.0
119,1067.0
120,789.0
121,787.0
122,777.0
123,758.0
124,787.0
125,803.0
126,785.0
127,784.0
128,780.0
129,757.0
130,797.0
131,791.0
132,878.0
133,841.0
134,792.0
135,770.0
136,870.0
137,807.0
138,1267.0
139,1095.0
140,760.0
141,765.0
142,795.0
143,786.0
144,799.0
145,822.0
146,827.0
147,749.0
148,774.0
149,760.0
150,880.0
151,1034.0
152,795.0
153,787.0
154,981.0
155,846.0
156,749.0
157,822.0
158,760.0
159,777.0
160,795.0
161,799.0
162,745.0
163,775.0
164,759.0
165,780.0
166,766.0
167,761.0
168,810.0
169,848.0
170,764.0
171,765.0
172,782.0
173,784.0
174,868.0
175,882.0
176,795.0
177,808.0
178,788.0
179,779.0
180,842.0
181,810.0
182,800.0
183,784.0
184,834.0
185,799.0
186,800.0
187,861.0
188,769.0
189,796.0
190,822.0
191,813.0
192,777.0
193,825.0
194,851.0
195,783.0
196,827.0
197,755.0
198,800.0
199,792.0
200,793.0
201,823.0
202,806.0
203,822.0
204,781.0
205,826.0
206,827.0
207,793.0
208,807.0
209,974.0
210,779.0
211,780.0
212,824.0
213,786.0
214,812.0
215,792.0
216,842.0
217,826.0
218,861.0
219,874.0
220,783.0
221,792.0
222,931.0
223,796.0
224,783.0
225,799.0
226,763.0
227,762.0
228,789.0
229,761.0
230,777.0
231,795.0
232,740.0
233,753.0
234,773.0
235,800.0
236,805.0
237,837.0
238,816.0
239,773.0
240,773.0
241,777.0
242,813.0
243,798.0
244,783.0
245,788.0
246,799.0
247,786.0
248,847.0
249,802.0
250,738.0
251,751.0
252,767.0
253,782.0
254,765.0
255,794.0
256,746.0
257,774.0
258,780.0
259,768.0
260,779.0
261,753.0
262,767.0
263,811.0
264,790.0
265,754.0
266,793.0
267,781.0
268,750.0
269,771.0
270,811.0
271,780.0
272,768.0
273,749.0
274,799.0
275,825.0
276,780.0
277,754.0
278,797.0
279,764.0
280,824.0
281,757.0
282,792.0
283,789.0
284,799.0
285,790.0
286,797.0
287,860.0
288,810.0
289,779.0
290,794.0
291,809.0
292,809.0
293,780.0
294,768.0
295,762.0
296,767.0
297,806.0
298,954.0
299,856.0
300,802.0
301,922.0
302,919.0
303,759.0
304,785.0
305,815.0
306,756.0
307,781.0
308,800.0
309,937.0
310,848.0
311,1041.0
312,817.0
313,767.0
314,785.0
315,783.0
316,817.0
317,854.0
318,761.0
319,770.0
320,747.0
321,763.0
322,746.0
323,775.0
324,767.0
325,785.0
326,814.0
327,936.0
328,749.0
329,763.0
330,748.0
331,753.0
