,scores
0,-117.16491758107878
1,-94.00792156961505
2,-349.8875928427799
3,-105.79953325319104
4,-37.8150446188593
5,-83.22943970863122
6,-183.5430474958121
7,-487.99632842129313
8,-276.13218108617906
9,-149.82144139757162
10,-103.85356071826979
11,-118.07914674875434
12,-53.4779237955767
13,-174.7710340314282
14,-163.9956147847547
15,-94.31152816323022
16,-164.96325779348223
17,-131.74632548243855
18,-296.99635094122254
19,-43.58019547263649
20,-81.39730139103966
21,-355.6603849210881
22,-115.28216724629918
23,-91.88202507403753
24,-99.74617548277374
25,-53.95493239542719
26,-235.2876977567688
27,-67.42851912042364
28,-120.58964128287963
29,-45.46284412699568
30,-148.5418681364656
31,-207.3200687985068
32,-235.4985886005959
33,-103.1694830785535
34,-100.58188522477364
35,-80.08740782921659
36,-27.4440087762988
37,-117.52550264441143
38,-129.63365594329397
39,-64.26003463361411
40,-215.82688640939182
41,-75.54748857387484
42,-91.87525862228586
43,-245.05465690491744
44,-132.72028901842629
45,-122.50390417770349
46,-91.3060038207044
47,-86.03896301863519
48,35.14742486983275
49,-16.377966324256235
50,-130.36909545100605
51,-132.8612048150148
52,-3.2797271688267244
53,-29.337700837239325
54,-70.76617385066407
55,-191.0214017981441
56,-119.57989103758815
57,-339.34309790003107
58,-208.01337415467077
59,-71.42923123248244
60,-120.85222758077224
61,-373.186141342515
62,-204.22260108634913
63,-5.288948714292104
64,-172.9002578414898
65,-123.88029641319855
66,-97.6015903805401
67,-172.58482349399017
68,-272.63257685606493
69,-83.29012977039099
70,-196.9843187414567
71,-154.4556354358223
72,-173.87476736507423
73,-15.05189708742722
74,-18.836222029815445
75,-33.16594119564372
76,52.78824363676637
77,-84.65448798999215
78,-39.08785708580614
79,-83.5969312185165
80,-140.27106436336908
81,-152.8501441255124
82,-6.425463254996074
83,-62.425665931807615
84,-115.3990641327846
85,-102.52105806873193
86,-34.45924271015867
87,-71.51860372682155
88,-96.7689181986704
89,-129.12406409206605
90,-149.6974828416834
91,-131.81663614920086
92,34.39794844420054
93,-73.50393203364136
94,-16.332278150855444
95,-64.3265054026286
96,-125.10528714595891
97,16.5111257279692
98,-218.73767318344989
99,-141.53037074231617
100,183.2264288321324
101,-80.98352089358862
102,-109.46631364768585
103,-136.50143529558315
104,-107.27443279622352
105,-81.13544262524371
106,-73.4181101152702
107,-141.19633846511067
108,-152.5943797990451
109,-83.12893280222579
110,-136.0568260427086
111,-253.38661603341436
112,-92.23123771885594
113,-196.2661976122145
114,-21.81132483686547
115,-175.23908252177142
116,-178.7343954783706
117,-85.88500111014162
118,-121.52040531681482
119,-93.59844156787669
120,-113.05492116555132
121,-140.99606702039043
122,-5.119192082257367
123,-3.2771719072094436
124,-23.111985993981996
125,-109.09222383144107
126,-95.6252621408992
127,-76.69631077398843
128,-186.99093863078406
129,-48.24386554027779
130,-76.70783086689717
131,-63.719573037868415
132,-50.85564382690223
133,-17.815462210664393
134,-87.51452981417482
135,-159.07896530849578
136,-45.831079675368
137,-165.79302208487877
138,-144.49658730337947
139,-54.42209410687955
140,5.343680093534178
141,-62.069550392083144
142,-90.03596323088142
143,-122.37983260788337
144,-120.05395534790674
145,-48.40684026519685
146,-123.18571785097873
147,-94.01916693266287
148,-108.69077199522667
149,-101.13261809450624
150,-105.87639039753226
151,-115.74550726896584
152,-292.0550487046622
153,-346.1191290980116
154,-30.175604360985204
155,-291.8333542105006
156,-113.05126508026696
157,-67.49124145692763
158,-97.85421750678
159,-16.41379147796367
160,-41.19646835907174
161,-110.88659729066023
162,-165.72687351994915
163,-5.506466788183676
164,-3.3682340588739406
165,-30.471823185832886
166,-87.60543691970274
167,-69.3168547403063
168,-95.08477018628484
169,-48.40814940065856
170,-211.1083115521817
171,-58.20853710291983
172,-25.546115727801634
173,1.143704751731115
174,-57.07510282414374
175,-79.53309615751245
176,-104.34362095917908
177,-35.791563538783734
178,-19.698914783752674
179,-182.8444169738698
180,25.89434822459612
181,-68.21879795732018
182,15.06982883596258
183,-64.21589711440517
184,-73.54564744496224
185,-70.405788639828
186,-35.23119770779333
187,-83.31667134977278
188,-40.46313642659587
189,-42.06856710321266
190,-127.02116460839487
191,-47.131340646106956
192,-70.1241782274134
193,-88.82667008679425
194,-21.62875240400288
195,-6.753234542735029
196,-502.5877228566717
197,-67.67101272417193
198,98.26024004303044
199,39.62711941454958
200,-101.39268331504461
201,-88.63576562707397
202,-35.59869673915169
203,-70.34686322930033
204,-83.90807590393499
205,-88.1843838956846
206,84.09041719260232
207,-57.34742654286289
208,-84.55308848066878
209,-85.30592583715033
210,-72.20417009953775
211,-347.86816985917017
212,-38.130777321264034
213,90.11251895583231
214,-77.8035458477224
215,-97.62825238725904
216,-94.5774843832913
217,-44.216103373786204
218,-68.01124994936431
219,-49.278025775901284
220,-69.68086213001281
221,-62.39123923788064
