,0
0,2321.0
1,2271.0
2,2009.0
3,2199.0
4,2223.0
5,2258.0
6,2182.0
7,2244.0
8,2152.0
9,1869.0
10,2220.0
11,2166.0
12,1950.0
13,2516.0
14,1885.0
15,1870.0
16,1962.0
17,2134.0
18,1808.0
19,3141.0
20,2982.0
21,1524.0
22,1527.0
23,1485.0
24,1608.0
25,1485.0
26,2991.0
27,1957.0
28,1478.0
29,1539.0
30,1582.0
31,2795.0
32,1878.0
33,1398.0
34,3026.0
35,2914.0
36,1347.0
37,1388.0
38,2461.0
39,1333.0
40,3556.0
41,1320.0
42,2355.0
43,1268.0
44,3304.0
45,1245.0
46,1268.0
47,3426.0
48,1213.0
49,1415.0
50,3420.0
51,2361.0
52,1626.0
53,4387.0
54,1287.0
55,2912.0
56,1371.0
57,1913.0
58,1362.0
59,1536.0
60,1053.0
61,4186.0
62,1094.0
63,2293.0
64,2531.0
65,4009.0
66,1114.0
67,3581.0
68,1151.0
69,4423.0
70,1083.0
71,1150.0
72,4583.0
73,1073.0
74,1179.0
75,2499.0
76,1053.0
77,1103.0
78,1144.0
79,3380.0
80,1066.0
81,3578.0
82,1026.0
83,1085.0
84,4333.0
85,1041.0
86,1036.0
87,1905.0
88,1042.0
89,1044.0
90,1023.0
91,1108.0
92,2788.0
93,1382.0
94,1033.0
95,1002.0
96,1017.0
97,1049.0
98,1033.0
99,1877.0
100,1030.0
101,4420.0
102,993.0
103,962.0
104,4409.0
105,1108.0
106,990.0
107,1109.0
108,1066.0
109,4704.0
110,2036.0
111,1009.0
112,2939.0
113,988.0
114,930.0
115,1107.0
116,996.0
117,971.0
118,2002.0
119,1012.0
120,3868.0
121,1757.0
122,994.0
123,1117.0
124,968.0
125,1073.0
126,1000.0
127,4929.0
128,946.0
129,2134.0
130,1063.0
131,982.0
132,1032.0
133,917.0
134,4606.0
135,899.0
136,3110.0
137,994.0
138,1724.0
139,962.0
140,1007.0
141,970.0
142,959.0
143,3021.0
144,1264.0
145,972.0
146,1005.0
147,4057.0
148,955.0
149,1062.0
150,963.0
151,1996.0
152,951.0
153,4273.0
154,890.0
155,4225.0
156,900.0
157,4244.0
158,1986.0
159,4180.0
160,1832.0
161,3323.0
162,2205.0
163,958.0
164,927.0
165,1061.0
166,1126.0
167,943.0
168,1372.0
169,1091.0
170,958.0
171,967.0
172,909.0
173,4461.0
174,917.0
175,4227.0
176,1102.0
177,4309.0
178,956.0
179,2340.0
180,967.0
181,952.0
182,951.0
183,3522.0
184,1491.0
185,2424.0
186,948.0
187,1948.0
188,4261.0
189,1038.0
190,2532.0
191,4274.0
192,905.0
193,3955.0
194,1383.0
195,971.0
196,3281.0
197,2449.0
198,2499.0
199,2243.0
200,3874.0
201,1257.0
202,2665.0
203,938.0
204,2147.0
205,938.0
206,3595.0
207,3117.0
208,3147.0
209,2039.0
210,934.0
211,938.0
212,2660.0
213,3270.0
214,1874.0
215,3979.0
216,975.0
217,4014.0
218,894.0
219,4047.0
220,982.0
221,3232.0
222,928.0
223,3412.0
224,1889.0
225,945.0
226,2655.0
227,951.0
228,1668.0
229,935.0
230,950.0
231,2679.0
232,1403.0
233,939.0
234,2097.0
235,1502.0
236,944.0
237,2841.0
238,981.0
239,947.0
240,3815.0
241,1846.0
242,1466.0
243,962.0
244,936.0
245,1269.0
246,936.0
247,1571.0
248,1398.0
249,2568.0
250,948.0
251,1543.0
252,1971.0
253,976.0
254,1288.0
255,936.0
256,1869.0
257,2977.0
258,2152.0
259,938.0
260,3626.0
261,928.0
262,1611.0
263,953.0
264,3013.0
265,3588.0
266,946.0
267,921.0
268,952.0
269,942.0
270,1516.0
271,2222.0
272,2454.0
273,1626.0
274,1898.0
275,937.0
276,2119.0
277,945.0
278,3015.0
279,951.0
280,2125.0
281,1024.0
282,935.0
283,892.0
284,1144.0
285,3669.0
286,3157.0
287,2391.0
288,3838.0
289,2660.0
290,4152.0
291,939.0
292,3904.0
293,1200.0
294,3840.0
295,887.0
296,4513.0
297,2862.0
298,1033.0
299,933.0
300,1303.0
301,4052.0
302,1990.0
303,3015.0
304,961.0
305,1322.0
306,936.0
307,927.0
308,4088.0
309,1827.0
310,962.0
311,2940.0
312,2478.0
313,961.0
314,3307.0
315,931.0
316,1937.0
317,4400.0
318,2709.0
319,1548.0
320,2381.0
321,942.0
322,3392.0
323,1107.0
324,4378.0
325,2378.0
326,1082.0
327,4274.0
328,2445.0
329,3394.0
330,1092.0
331,2686.0
332,908.0
333,2892.0
334,994.0
335,1825.0
336,939.0
337,1552.0
338,1205.0
339,3154.0
340,3984.0
341,1855.0
342,4321.0
343,1273.0
344,4161.0
345,976.0
346,3743.0
347,951.0
348,1754.0
349,949.0
350,1661.0
351,3193.0
352,1192.0
353,3658.0
354,959.0
355,1969.0
356,1076.0
357,3246.0
358,3443.0
359,1232.0
360,3567.0
361,1535.0
362,955.0
363,3750.0
364,3696.0
365,948.0
366,1347.0
367,1525.0
368,946.0
369,4224.0
370,2470.0
371,970.0
372,1672.0
373,939.0
374,3053.0
375,2415.0
376,1868.0
377,929.0
378,2151.0
379,915.0
380,3194.0
381,2725.0
382,974.0
383,2539.0
384,4289.0
385,933.0
386,3892.0
387,2701.0
388,1240.0
389,2238.0
390,2994.0
391,1010.0
392,943.0
393,2504.0
394,1209.0
395,946.0
396,2864.0
397,3641.0
398,1337.0
399,982.0
400,1002.0
401,2131.0
402,964.0
403,2366.0
404,3909.0
405,2601.0
406,1044.0
407,2838.0
408,2696.0
409,945.0
410,932.0
411,964.0
412,2611.0
413,978.0
414,2630.0
415,1287.0
416,937.0
417,1106.0
418,1006.0
419,2198.0
420,1883.0
421,1051.0
422,1246.0
423,3448.0
424,951.0
425,3947.0
426,992.0
427,947.0
428,2033.0
429,4372.0
430,883.0
431,4270.0
432,3697.0
433,3977.0
434,1687.0
435,1221.0
436,3461.0
437,929.0
438,3261.0
439,2204.0
440,994.0
441,968.0
442,1016.0
443,1028.0
444,2430.0
445,989.0
446,1721.0
447,1567.0
448,941.0
449,951.0
450,1866.0
451,967.0
452,1020.0
453,1860.0
454,1015.0
455,961.0
456,3350.0
457,1086.0
458,2448.0
459,1690.0
460,956.0
461,1094.0
462,2815.0
463,969.0
464,1136.0
465,1112.0
466,2434.0
467,1007.0
468,2319.0
469,958.0
