,0
0,2219.0
1,2392.0
2,2219.0
3,2339.0
4,2277.0
5,2405.0
6,2344.0
7,2343.0
8,2194.0
9,2262.0
10,2188.0
11,2495.0
12,2461.0
13,2008.0
14,2147.0
15,2425.0
16,2439.0
17,2148.0
18,2174.0
19,2423.0
20,2374.0
21,2581.0
22,2309.0
23,2033.0
24,2333.0
25,2316.0
26,1915.0
27,1825.0
28,2091.0
29,2129.0
30,1957.0
31,1833.0
32,2374.0
33,2140.0
34,2573.0
35,1865.0
36,1879.0
37,2103.0
38,1953.0
39,2013.0
40,1744.0
41,1903.0
42,1867.0
43,1878.0
44,2033.0
45,2162.0
46,1939.0
47,2142.0
48,1803.0
49,1665.0
50,1961.0
51,2261.0
52,2353.0
53,2481.0
54,1820.0
55,1682.0
56,1868.0
57,1947.0
58,1739.0
59,2576.0
60,2547.0
61,1751.0
62,1571.0
63,1856.0
64,1663.0
65,1859.0
66,1845.0
67,1907.0
68,1944.0
69,1903.0
70,2451.0
71,2271.0
72,2199.0
73,2194.0
74,3604.0
75,2661.0
76,1831.0
77,2235.0
78,2032.0
79,3218.0
80,2727.0
81,3523.0
82,2612.0
83,1792.0
84,2158.0
85,3011.0
86,1618.0
87,1702.0
88,2990.0
89,2348.0
90,1632.0
91,1641.0
92,1863.0
93,3451.0
94,1911.0
95,3337.0
96,1537.0
97,2327.0
98,2245.0
99,2366.0
100,3122.0
101,1725.0
102,2151.0
103,2914.0
104,1575.0
105,3503.0
106,3340.0
107,2109.0
108,3488.0
109,2319.0
110,2423.0
111,2058.0
112,1524.0
113,1908.0
114,3563.0
115,2442.0
116,2367.0
117,1795.0
118,1920.0
119,1409.0
120,1930.0
121,2700.0
122,1487.0
123,1993.0
124,2124.0
125,1485.0
126,1444.0
127,2590.0
128,3504.0
129,1793.0
130,3557.0
131,3243.0
132,3341.0
133,1352.0
134,2869.0
135,2841.0
136,1909.0
137,2503.0
138,1353.0
139,1628.0
140,1547.0
141,2511.0
142,1555.0
143,3524.0
144,1398.0
145,1545.0
146,2431.0
147,1387.0
148,1963.0
149,4008.0
150,2598.0
151,3054.0
152,1339.0
153,1243.0
154,1288.0
155,3921.0
156,1541.0
157,1967.0
158,2841.0
159,1951.0
160,1678.0
161,3818.0
162,1874.0
163,1386.0
164,2950.0
165,2284.0
166,1981.0
167,1775.0
168,2030.0
169,1760.0
170,2283.0
171,1334.0
172,2157.0
173,2634.0
174,2676.0
175,1547.0
176,1766.0
177,2168.0
178,1445.0
179,1397.0
180,1834.0
181,1672.0
182,1294.0
183,2609.0
184,3211.0
185,2758.0
186,1384.0
187,1588.0
188,1412.0
189,1956.0
190,1826.0
191,2112.0
192,2276.0
193,1261.0
194,1408.0
195,2125.0
196,3137.0
197,2905.0
198,1565.0
199,3356.0
200,1253.0
201,1535.0
202,3121.0
203,1779.0
204,2129.0
205,1190.0
206,3213.0
207,1236.0
208,1948.0
209,3671.0
210,3040.0
211,1141.0
212,2919.0
213,1257.0
214,2141.0
215,1476.0
216,1888.0
217,1495.0
218,1473.0
219,1776.0
220,2097.0
221,1375.0
222,1199.0
223,1324.0
224,3785.0
225,3576.0
226,4022.0
227,1178.0
228,1683.0
229,1547.0
230,1363.0
231,1742.0
232,1463.0
233,1409.0
234,1815.0
235,2088.0
236,1611.0
237,2240.0
238,1924.0
239,4246.0
240,2255.0
241,1111.0
242,2998.0
243,1512.0
244,1426.0
245,1567.0
246,2767.0
247,1814.0
248,1469.0
249,2305.0
250,1992.0
251,1637.0
252,1659.0
253,2742.0
254,1903.0
255,2032.0
256,3100.0
257,1135.0
258,1156.0
259,2855.0
260,1372.0
261,4116.0
262,3607.0
263,3828.0
264,1180.0
265,3060.0
266,2866.0
267,2106.0
268,2362.0
269,1102.0
270,1292.0
271,1229.0
272,2544.0
273,1471.0
274,3864.0
275,2230.0
276,1471.0
277,3322.0
278,1163.0
279,1175.0
280,1364.0
281,1101.0
282,2887.0
283,2423.0
284,3051.0
285,3124.0
286,3317.0
287,1777.0
288,1563.0
289,1359.0
290,2294.0
291,1420.0
292,1196.0
293,3074.0
294,2521.0
295,1361.0
296,2460.0
297,1372.0
298,3878.0
299,4371.0
300,2327.0
301,1782.0
302,1105.0
303,1182.0
304,1537.0
305,1104.0
306,1985.0
307,1496.0
308,1239.0
309,1550.0
310,1161.0
311,4146.0
312,3892.0
313,1164.0
314,2089.0
315,2848.0
316,3261.0
317,1224.0
318,1086.0
319,1107.0
320,1674.0
321,3383.0
322,1529.0
323,3614.0
324,1054.0
325,2886.0
326,1580.0
327,3019.0
328,2670.0
329,2446.0
330,2278.0
331,1104.0
332,1105.0
333,1895.0
334,1397.0
335,2388.0
336,3055.0
337,1084.0
338,1168.0
339,1065.0
340,1079.0
341,1071.0
342,1366.0
343,1157.0
344,3041.0
345,3844.0
346,1647.0
347,2093.0
348,2684.0
349,2879.0
350,1360.0
351,1953.0
352,2908.0
353,1078.0
354,3437.0
355,2662.0
356,1062.0
357,1262.0
358,1880.0
359,1090.0
360,1050.0
361,1292.0
362,1869.0
363,3366.0
364,4091.0
365,3210.0
366,1090.0
367,1038.0
368,4350.0
369,3636.0
370,2678.0
371,2163.0
372,1024.0
373,2178.0
374,1872.0
375,1249.0
376,1174.0
377,1089.0
378,1694.0
379,2501.0
380,1338.0
381,1247.0
382,1072.0
383,1050.0
384,1095.0
385,1103.0
386,1400.0
387,2254.0
388,1620.0
389,3541.0
390,3255.0
391,1883.0
392,1929.0
393,1971.0
394,1936.0
395,1342.0
396,1116.0
397,3006.0
398,1541.0
399,2659.0
400,2507.0
401,1660.0
402,1681.0
403,1569.0
404,2114.0
405,1105.0
406,3002.0
407,3371.0
408,2970.0
409,2693.0
410,1867.0
411,1337.0
412,1229.0
413,1161.0
414,1103.0
415,1204.0
416,1907.0
417,2084.0
418,1790.0
419,1700.0
420,2098.0
421,2452.0
422,3582.0
423,3015.0
424,1870.0
425,1679.0
426,2951.0
427,2619.0
428,1845.0
429,1681.0
430,1027.0
431,1593.0
432,1211.0
433,4116.0
434,1799.0
435,2242.0
436,1674.0
437,1438.0
438,1510.0
439,968.0
440,1666.0
441,1879.0
442,1552.0
443,2116.0
444,1719.0
445,2677.0
446,1006.0
447,1146.0
448,1974.0
449,2226.0
450,1167.0
451,1404.0
452,1719.0
453,2272.0
454,1682.0
455,1104.0
456,1019.0
457,2500.0
458,2397.0
459,4304.0
460,3814.0
461,2170.0
462,1393.0
463,2555.0
464,1029.0
465,2923.0
466,1443.0
467,1356.0
468,1421.0
469,1443.0
470,2929.0
471,1430.0
472,1257.0
473,3656.0
474,3157.0
475,1258.0
476,1029.0
477,1120.0
478,996.0
479,3438.0
480,2320.0
481,3378.0
482,3931.0
483,2250.0
484,2976.0
485,1537.0
486,2159.0
487,2850.0
488,1514.0
489,1336.0
490,1494.0
491,1001.0
492,2894.0
493,3656.0
494,3146.0
495,2942.0
496,2508.0
497,1066.0
498,1076.0
499,1873.0
500,1877.0
501,2902.0
502,3201.0
503,2190.0
504,1290.0
505,1151.0
506,1106.0
507,1270.0
508,1866.0
509,1230.0
510,2353.0
511,2865.0
512,1787.0
513,1208.0
514,1709.0
515,2015.0
516,2302.0
517,2886.0
518,982.0
519,3601.0
520,2074.0
521,1821.0
522,1717.0
523,1588.0
524,1371.0
525,1060.0
526,1000.0
527,1455.0
528,1625.0
529,2546.0
530,3066.0
531,2108.0
532,1541.0
533,2077.0
534,3212.0
535,3041.0
536,2600.0
537,1355.0
538,1470.0
539,1169.0
540,1006.0
541,2232.0
542,1875.0
543,1009.0
544,2334.0
545,3967.0
546,3990.0
547,1704.0
548,2014.0
549,1466.0
550,2446.0
551,2522.0
552,1062.0
553,1128.0
554,2425.0
555,1727.0
556,2472.0
557,4046.0
558,1351.0
559,1327.0
560,1769.0
561,3052.0
562,2731.0
563,2486.0
564,1012.0
565,1984.0
566,2853.0
567,1942.0
568,1075.0
569,3109.0
570,3026.0
