,0
0,1923.9530909557172
1,1918.537981138895
2,1923.326432141421
3,1921.4426313881154
4,1916.873430619638
5,1913.7919612788555
6,1919.9928098839366
7,1927.4379643301902
8,1921.5554567995987
9,1924.2816745852
10,1929.285410772431
11,1924.8781394168072
12,1916.2989238338628
13,1925.9104329050176
14,1921.7093261639586
15,1925.5957973037152
16,1924.807175981158
17,1910.7894928377395
18,1921.6355072522333
19,1925.4458761003714
20,1924.0483459133427
21,1924.1449209539057
22,1920.2746107052526
23,1924.0798266828322
24,1927.0049305147127
25,1919.788628822832
26,1922.7726691730302
27,1912.5927163289211
28,1925.8896573778788
29,1923.8812787978995
30,1927.0486342502693
31,1917.615361263874
32,1920.8873132325539
33,1928.8253005558583
34,1916.246057565572
35,1928.753537645758
36,1934.8973395669536
37,1924.5217397704328
38,1916.2860515515986
39,1911.9444335661324
40,1923.8475788362737
41,1910.8366004048514
42,1931.2019894600069
43,1918.6502543397019
44,1915.4990626029883
45,1920.1193644931209
46,1923.3329774393876
47,1909.6200052124634
48,1920.4631778808914
49,1928.1166258345688
50,1928.1496508988816
51,1916.7425187458368
52,1939.8946354726602
53,1914.808076853649
54,1912.9479294115513
55,1909.1622151914062
56,1935.1024513783702
57,1932.3381609134415
58,1919.3750416409252
59,1926.8741344200093
60,1933.415752637672
61,1927.8847932022902
62,1930.446196207639
63,1922.4275168429747
64,2081.164120198333
65,1925.180582244627
66,1912.7440746475795
67,1909.8464461936233
68,1923.3061742369307
69,1909.5671643876838
70,1927.138506545795
71,1919.4419789811523
72,1914.170186845665
73,1941.3186503173545
74,1910.762929087018
75,1920.0604618207203
76,1925.1320520136935
77,1939.2250064798613
78,1921.8593075602205
79,1956.2867453504941
80,1929.2786315383364
81,1924.3967321833134
82,1919.8017486724534
83,1932.3330007692132
84,1906.3465330078109
85,1936.17837330978
86,1931.6595196208802
87,1920.953677753143
88,1926.8360297381419
89,1935.4750419694167
90,1988.2432730585253
91,1937.5152657356432
92,1935.2845764828328
93,1927.2165852911482
94,2107.6867831329832
95,1928.69726529183
96,2158.739627796753
97,1910.1312350758074
98,1901.836655505875
99,1908.375606028777
100,1906.1308687124217
101,1897.8086484756304
102,1911.1214161814898
103,1938.0442940435028
104,1903.1801240306077
105,2071.075336647196
106,1926.5385938278164
107,1923.1114048914596
108,1908.4999348537435
109,1907.4869390892013
110,1907.9797766937422
111,1939.254084378874
112,1927.1644705369742
113,1993.9908080331425
114,1900.1350315040947
115,1904.551918056013
116,1902.321512896585
117,1967.0825443993783
118,1895.8812155925145
119,1906.6590545851088
120,1904.3059322592298
121,1899.3853861970297
122,2047.780173169885
123,1933.5838274173639
124,1934.6881995179942
125,1935.8744050158307
126,1898.9439873203976
127,1904.3720457670577
128,1932.6429629217043
129,1938.66645139898
130,1904.3815895592297
131,1925.5655327823363
132,1902.706787329449
133,1896.6407469032786
134,1905.0898433101365
135,1936.5445573221189
136,2125.5519424819395
137,1902.0126230386381
138,1904.4356933680447
139,2041.7490232838632
140,1927.1038238020894
141,1929.316668719679
142,1935.8787416718046
143,1934.0112932340887
144,2001.9887016724444
145,1845.3775690519517
146,2002.6527606507102
147,1902.0176988563746
148,1906.991237392281
149,1941.9769610098901
150,1938.5427039831452
151,1944.4002601920097
152,1902.7345484406678
153,1934.1413195946654
154,1940.2466447984932
155,1926.573526107924
156,2010.8242751035057
157,1900.3270465093258
158,1931.927760506652
159,1902.4611946699754
160,1946.862375286466
161,1901.356214403545
162,1919.0769872836622
163,1935.2456636897068
164,2030.8384569979285
165,1933.293280810876
166,1942.0128263891618
167,1939.0765897038214
168,1980.4868138478682
169,1942.1929186869777
170,1948.138908117434
171,1935.8651124805003
172,1937.1737501636262
173,1901.9498016287773
174,2016.1675521711425
175,1934.4577278270438
176,1931.7092284997946
177,1896.6610636427147
178,2034.155005481475
179,1945.8161212224315
180,1936.6344408734342
181,1931.2958509935763
182,1935.618585708594
183,2115.8953989085508
184,1940.8340324778226
185,1899.7432984994866
186,1945.0162250582102
187,2080.991635190241
188,1925.9667058832533
189,2147.936415253604
190,1944.8481266644721
191,2128.2896186531075
192,1897.6495075655284
193,1943.9274005360328
194,1936.403918335119
195,1933.7585209815124
196,1944.5030035628579
197,1932.1660808508539
198,1947.723273948406
199,1890.782568138742
